LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
904980,10502700100000,12,53,8280,FLORIDA,FL,3,96918000.0,5780000.0,46163000.0,44975000.0,89877000.0,75323000.0,41661000.0,29924000.0,3738000.0,828000.0,8989000.0,45557000.0,16053000.0
900750,10503000100000,12,59,0,FLORIDA,FL,3,20412000.0,1811000.0,15217000.0,3384000.0,20032000.0,19308000.0,11487000.0,6548000.0,1273000.0,16000.0,579000.0,11890000.0,3960000.0
901860,10503300100000,12,65,0,FLORIDA,FL,3,12760000.0,1372000.0,8846000.0,2542000.0,12957000.0,11506000.0,6187000.0,4621000.0,698000.0,299000.0,1116000.0,7438000.0,2140000.0
903210,10503700100000,12,73,8240,FLORIDA,FL,3,209772000.0,13604000.0,115944000.0,80224000.0,198711000.0,169217000.0,94577000.0,67105000.0,7535000.0,7147000.0,17409000.0,110705000.0,33776000.0
903990,10503900100000,12,77,0,FLORIDA,FL,3,6831000.0,518000.0,5114000.0,1199000.0,6883000.0,6166000.0,3459000.0,2325000.0,382000.0,282000.0,389000.0,4085000.0,1233000.0
904740,10504000100000,12,79,0,FLORIDA,FL,3,19933000.0,2403000.0,14514000.0,3016000.0,19170000.0,17785000.0,10120000.0,6455000.0,1210000.0,154000.0,1121000.0,10213000.0,3326000.0
905280,10504100100000,12,81,7510,FLORIDA,FL,3,231955000.0,14376000.0,91873000.0,125706000.0,265853000.0,174068000.0,99735000.0,64795000.0,9538000.0,4149000.0,79841000.0,109311000.0,37458000.0
900840,10504400100000,12,87,0,FLORIDA,FL,3,79009000.0,4437000.0,13585000.0,60987000.0,69161000.0,53945000.0,30578000.0,20532000.0,2835000.0,1100000.0,12940000.0,34058000.0,11046000.0
901320,10504500100000,12,89,3600,FLORIDA,FL,3,56837000.0,3005000.0,31409000.0,22423000.0,53819000.0,46105000.0,26777000.0,16667000.0,2661000.0,416000.0,7185000.0,29872000.0,8439000.0
901740,10504700100000,12,93,0,FLORIDA,FL,3,37951000.0,4552000.0,24608000.0,8791000.0,36636000.0,34657000.0,19585000.0,12954000.0,2118000.0,195000.0,1781000.0,21009000.0,7082000.0
902130,10504900100000,12,97,5960,FLORIDA,FL,3,171261000.0,8030000.0,86383000.0,76848000.0,192561000.0,132034000.0,71960000.0,53257000.0,6817000.0,2701000.0,52775000.0,80714000.0,29431000.0
902580,10505200100000,12,103,8280,FLORIDA,FL,3,686961000.0,40630000.0,319731000.0,326600000.0,698315000.0,570960000.0,342163000.0,202276000.0,26521000.0,22144000.0,105143000.0,382269000.0,125266000.0
900960,10506300100000,12,125,0,FLORIDA,FL,3,20706000.0,1026000.0,17202000.0,2478000.0,17766000.0,11710000.0,6111000.0,4931000.0,668000.0,612000.0,5413000.0,6902000.0,2329000.0
901440,10506400100000,12,127,2020,FLORIDA,FL,3,352600000.0,20318000.0,169780000.0,162502000.0,328425000.0,285289000.0,167288000.0,105273000.0,12728000.0,865000.0,33023000.0,182854000.0,59936000.0
904290,11500100100000,13,1,0,GEORGIA,GA,3,20560000.0,1770000.0,10056000.0,8734000.0,20095000.0,19586000.0,12470000.0,5974000.0,1142000.0,48000.0,450000.0,13775000.0,3043000.0
904560,11500200100000,13,3,0,GEORGIA,GA,3,7823000.0,1066000.0,5449000.0,1308000.0,7650000.0,7388000.0,4544000.0,2193000.0,651000.0,0.0,232000.0,4688000.0,1329000.0
904650,11500300100000,13,5,0,GEORGIA,GA,3,10843000.0,1201000.0,7683000.0,1959000.0,10931000.0,10362000.0,6333000.0,3306000.0,723000.0,12000.0,528000.0,7092000.0,1719000.0
904680,11500400100000,13,7,0,GEORGIA,GA,1,3965000.0,772000.0,1633000.0,1560000.0,4050000.0,3641000.0,1842000.0,1144000.0,655000.0,0.0,178000.0,2214000.0,511000.0
902070,11501100100000,13,21,4680,GEORGIA,GA,3,143784000.0,15460000.0,79448000.0,48876000.0,156292000.0,133746000.0,82872000.0,41094000.0,9780000.0,1193000.0,19938000.0,89306000.0,25739000.0
905190,11501700100000,13,33,0,GEORGIA,GA,3,29030000.0,3157000.0,7326000.0,18547000.0,26756000.0,25148000.0,15060000.0,8612000.0,1476000.0,46000.0,1536000.0,16097000.0,4525000.0
903720,11502500100000,13,51,7520,GEORGIA,GA,3,250276000.0,17093000.0,123556000.0,109627000.0,256500000.0,190262000.0,121498000.0,58279000.0,10485000.0,10220000.0,47923000.0,136515000.0,35920000.0
903530,11502700100000,13,55,0,GEORGIA,GA,3,16864000.0,1325000.0,11053000.0,4486000.0,16537000.0,16164000.0,10134000.0,4943000.0,1087000.0,0.0,364000.0,10719000.0,3180000.0
903535,11502800200000,13,57,520,GEORGIA,GA,3,134855000.0,3724000.0,76144000.0,54987000.0,142648000.0,112462000.0,70416000.0,34263000.0,7783000.0,0.0,25489000.0,74944000.0,22047000.0
903660,11503000100000,13,61,0,GEORGIA,GA,1,2973000.0,443000.0,1824000.0,706000.0,3040000.0,2474000.0,1503000.0,763000.0,208000.0,0.0,349000.0,1623000.0,402000.0
903538,11503200100000,13,65,0,GEORGIA,GA,3,9646000.0,1136000.0,5622000.0,2888000.0,9065000.0,8260000.0,5055000.0,2678000.0,527000.0,0.0,773000.0,5262000.0,1584000.0
903750,11503500100000,13,71,0,GEORGIA,GA,3,46503000.0,4413000.0,32778000.0,9312000.0,46501000.0,41485000.0,26141000.0,12403000.0,2941000.0,28000.0,4971000.0,28670000.0,6380000.0
