LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
1924120,16504403400000,19,87,0,IOWA,IA,3,3,3940000.0,148000.0,2189000.0,1603000.0,3583000.0,3085000.0,1932000.0,886000.0,267000.0,0.0,165000.0,2061000.0,492000.0
1924150,16508704000000,19,173,0,IOWA,IA,3,3,1421000.0,58000.0,814000.0,549000.0,1440000.0,962000.0,519000.0,378000.0,65000.0,1000.0,34000.0,663000.0,143000.0
1924750,16506550300000,19,129,0,IOWA,IA,3,3,2640000.0,90000.0,1075000.0,1475000.0,2596000.0,2361000.0,1437000.0,703000.0,221000.0,0.0,79000.0,1550000.0,375000.0
1925050,16505501500000,19,109,0,IOWA,IA,3,3,3394000.0,179000.0,1482000.0,1733000.0,3399000.0,2960000.0,1814000.0,940000.0,206000.0,0.0,147000.0,1872000.0,558000.0
1926280,16505302400000,19,105,0,IOWA,IA,3,3,2335000.0,112000.0,1236000.0,987000.0,2423000.0,1975000.0,1223000.0,550000.0,202000.0,1000.0,128000.0,1357000.0,270000.0
1926400,16506650100000,19,131,0,IOWA,IA,3,3,7629000.0,255000.0,4060000.0,3314000.0,7798000.0,6931000.0,4468000.0,1785000.0,678000.0,18000.0,295000.0,4627000.0,1313000.0
1926640,16501203000000,19,23,0,IOWA,IA,3,3,4599000.0,115000.0,2141000.0,2343000.0,4574000.0,3310000.0,1915000.0,1058000.0,337000.0,11000.0,284000.0,2014000.0,533000.0
1926820,16502501900000,19,49,2120,IOWA,IA,3,3,12652000.0,1016000.0,6849000.0,4787000.0,13387000.0,11097000.0,7182000.0,3117000.0,798000.0,24000.0,1273000.0,7342000.0,2041000.0
1927060,16501301500000,19,25,0,IOWA,IA,3,3,2553000.0,133000.0,1073000.0,1347000.0,2409000.0,1938000.0,1191000.0,561000.0,186000.0,2000.0,126000.0,1322000.0,276000.0
1927270,16500203900000,19,3,0,IOWA,IA,3,3,998000.0,51000.0,498000.0,449000.0,954000.0,568000.0,251000.0,288000.0,29000.0,0.0,45000.0,355000.0,117000.0
1927500,16507503200000,19,149,0,IOWA,IA,3,3,3368000.0,114000.0,1380000.0,1874000.0,3281000.0,2770000.0,1744000.0,813000.0,213000.0,19000.0,115000.0,1886000.0,474000.0
1928050,16507401000000,19,147,0,IOWA,IA,3,3,2307000.0,208000.0,1179000.0,920000.0,2185000.0,1781000.0,1102000.0,561000.0,118000.0,0.0,124000.0,1233000.0,238000.0
1928680,16505501300000,19,109,0,IOWA,IA,3,3,2681000.0,114000.0,1077000.0,1490000.0,2622000.0,1926000.0,1095000.0,602000.0,229000.0,0.0,327000.0,1219000.0,327000.0
1928710,16509703900000,19,193,7720,IOWA,IA,3,3,10832000.0,194000.0,3673000.0,6965000.0,13861000.0,7752000.0,5160000.0,1940000.0,652000.0,2000.0,4960000.0,5372000.0,1330000.0
1929580,16508403500000,19,167,0,IOWA,IA,3,3,7208000.0,218000.0,3181000.0,3809000.0,7080000.0,5868000.0,3584000.0,1746000.0,538000.0,35000.0,436000.0,4058000.0,902000.0
1930240,16504050200000,19,79,0,IOWA,IA,3,3,5912000.0,119000.0,2605000.0,3188000.0,7510000.0,4762000.0,2946000.0,1378000.0,438000.0,4000.0,1932000.0,3279000.0,750000.0
1930480,16507301100000,19,145,0,IOWA,IA,3,3,2712000.0,187000.0,1493000.0,1032000.0,2634000.0,2281000.0,1357000.0,691000.0,233000.0,0.0,61000.0,1473000.0,347000.0
1930510,16508650200000,19,171,0,IOWA,IA,3,3,11584000.0,629000.0,6820000.0,4135000.0,11518000.0,10153000.0,6337000.0,2872000.0,944000.0,0.0,494000.0,6680000.0,2130000.0
1930540,16509601200000,19,191,0,IOWA,IA,3,3,5546000.0,237000.0,2960000.0,2349000.0,5538000.0,4471000.0,2811000.0,1316000.0,344000.0,0.0,271000.0,2957000.0,822000.0
1930560,16507702900000,19,153,2120,IOWA,IA,3,3,30716000.0,682000.0,16207000.0,13827000.0,30929000.0,26146000.0,15566000.0,8521000.0,2059000.0,15000.0,2280000.0,17458000.0,4117000.0
1930900,16501101800000,19,21,0,IOWA,IA,3,3,14422000.0,1122000.0,7297000.0,6003000.0,14367000.0,12050000.0,7641000.0,3329000.0,1080000.0,47000.0,541000.0,7967000.0,1967000.0
1930930,16504002000000,19,79,0,IOWA,IA,3,3,1578000.0,44000.0,747000.0,787000.0,1974000.0,879000.0,475000.0,355000.0,49000.0,1000.0,587000.0,575000.0,148000.0
1931110,16505501600000,19,109,0,IOWA,IA,3,3,1834000.0,80000.0,859000.0,895000.0,1682000.0,1459000.0,901000.0,448000.0,110000.0,9000.0,39000.0,934000.0,197000.0
